                   
                                               Deposit Summary Report

                                         Release:                         2022-05-13 #001
                                         Total Check Items:               28351
                                         Total Check Amount:              $710,151.57
                                         Total Cash Items:                268
                                         Total Cash Amount:               $2,423.00
                                         Total Foreign Items:             1
                                         Total Foreign Amount:            $17.00
                                         Total Bank Deposit:              $712,591.57

                                              
                                                         FOREIGN              1         $17.00

                                                         Account Details

Description         Account        BOA Client Id         Items     Total Amount          Non-Cash Amount               Cash Amount
                8  1920683519             000905810            90           $2,825.00                    $2,825.00                   $0.00
1,4,20,101,301     1921245215             000905809       21643          $569,560.42                  $569,417.42                 $143.00
             751   1933238155             000905811         2985          $62,885.84                    $62,458.84                $427.00
             753   1933253059             000905812         3901          $77,303.31                    $75,450.31              $1,853.00
1,4,20,101,301       FOREIGN              000905809             1              $17.00                        $17.00                  $0.00

                                                           Batch Listing

             Item   Batch Number       Checks      Chk Amt      Cash    Cash Amt     Foreign     Foreign Amt      Total Amt
255         000047869                       50   $1,163.00                0          $0.00                 0               $0.00      $1,163.00
256         000047871                       50   $1,220.00                0          $0.00                 0               $0.00      $1,220.00
257         000047872                       49   $1,184.00                0          $0.00                 0               $0.00      $1,184.00
258         000047873                       50   $1,115.00                0          $0.00                 0               $0.00      $1,115.00
259         000047874                       50   $1,117.00                0          $0.00                 0               $0.00      $1,117.00
260         000047875                       50   $1,098.00                0          $0.00                 0               $0.00      $1,098.00
261         000047876                       50   $1,279.00                0          $0.00                 0               $0.00      $1,279.00
262         000047877                       49   $1,057.00                0          $0.00                 0               $0.00      $1,057.00
263         000047988                       50   $1,092.00                0          $0.00                 0               $0.00      $1,092.00
264         000048006                       50   $1,072.00                0          $0.00                 0               $0.00      $1,072.00
265         000048007                       50   $1,030.00                0          $0.00                 0               $0.00      $1,030.00
266         000048008                       49      $836.00               0          $0.00                 0               $0.00         $836.00
267         000048009                       50   $1,198.00                0          $0.00                 0               $0.00      $1,198.00
268         000048010                       50   $1,042.00                0          $0.00                 0               $0.00      $1,042.00
269         000048272                         0         $0.00             0          $0.00                 0               $0.00             $0.00
270         000048273                         0         $0.00             0          $0.00                 0               $0.00             $0.00
271         000048274                         0         $0.00             0          $0.00                 0               $0.00             $0.00
272         000048275                         0         $0.00             0          $0.00                 0               $0.00             $0.00
273         000048276                         0         $0.00             0          $0.00                 0               $0.00             $0.00
274         000048277                         0         $0.00             0          $0.00                 0               $0.00             $0.00
275         000048278                         0         $0.00             0          $0.00                 0               $0.00             $0.00
276         000048279                         0         $0.00             0          $0.00                 0               $0.00             $0.00
277         000048280                         0         $0.00             0          $0.00                 0               $0.00             $0.00

